"Num","Title","Artist(s)"

"1","Love Will Keep Us Together","Captain & Tennille"
"2","Rhinestone Cowboy","Glen Campbell"
"3","Philadelphia Freedom","Elton John"
"4","Before the Next Teardrop Falls","Freddy Fender"
"5","My Eyes Adored You","Frankie Valli"
"6","Shining Star","Earth, Wind & Fire"
"7","Fame","David Bowie"
"8","Laughter in the Rain","Neil Sedaka"
"9","One of These Nights","Eagles"
"10","Thank God I'm a Country Boy","John Denver"
"11","Jive Talkin'","Bee Gees"
"12","Best of My Love","Eagles"
"13","Lovin' You","Minnie Riperton"
"14","Kung Fu Fighting","Carl Douglas"
"15","Black Water","The Doobie Brothers"
"16","The Ballroom Blitz","Sweet"
"17","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas"
"18","He Don't Love You (Like I Love You)","Tony Orlando and Dawn"
"19","At Seventeen","Janis Ian"
"20","Pick Up the Pieces","Average White Band"
"21","The Hustle","Van McCoy & the Soul City Symphony"
"22","Lady Marmalade","Labelle"
"23","Why Can't We Be Friends","War"
"24","Love Won't Let Me Wait","Major Harris"
"25","Boogie On Reggae Woman","Stevie Wonder"
"26","Wasted Days and Wasted Nights","Freddy Fender"
"27","Fight the Power","The Isley Brothers"
"28","Angie Baby","Helen Reddy"
"29","Jackie Blue","Ozark Mountain Daredevils"
"30","Fire","Ohio Players"
"31","Magic","Pilot"
"32","Please Mr. Postman","The Carpenters"
"33","Sister Golden Hair","America"
"34","Lucy in the Sky with Diamonds","Elton John"
"35","Mandy","Barry Manilow"
"36","Have You Never Been Mellow","Olivia Newton-John"
"37","Could It Be Magic","Barry Manilow"
"38","Cat's in the Cradle","Harry Chapin"
"39","Wildfire","Michael Martin Murphey"
"40","I'm Not Lisa","Jessi Colter"
"41","Listen to What the Man Said","Wings"
"42","I'm Not in Love","10cc"
"43","I Can Help","Billy Swan"
"44","Fallin' in Love","Hamilton, Joe Frank & Reynolds"
"45","Feelings","Morris Albert"
"46","Chevy Van","Sammy Johns"
"47","When Will I Be Loved","Linda Ronstadt"
"48","You're the First, the Last, My Everything","Barry White"
"49","Please Mr. Please","Olivia Newton-John"
"50","You're No Good","Linda Ronstadt"
"51","Dynomite","Bazuka"
"52","Walking in Rhythm","The Blackbyrds"
"53","The Way We Were/Try to Remember","Gladys Knight & the Pips"
"54","Midnight Blue","Melissa Manchester"
"55","Don't Call Us, We'll Call You","Sugarloaf"
"56","Poetry Man","Phoebe Snow"
"57","How Long?","Ace"
"58","Express","B.T. Express"
"59","That's the Way of the World","Earth, Wind & Fire"
"60","Lady","Styx"
"61","Bad Time","Grand Funk"
"62","Only Women Bleed","Alice Cooper"
"63","Doctor's Orders","Carol Douglas"
"64","Get Down Tonight","KC and the Sunshine Band"
"65","You Are So Beautiful","Joe Cocker"
"66","One Man Woman/One Woman Man","Paul Anka & Odia Coates"
"67","Feel Like Makin' Love","Bad Company"
"68","How Sweet It Is (To Be Loved by You)","James Taylor"
"69","Dance with Me","Orleans"
"70","Cut the Cake","Average White Band"
"71","Never Can Say Goodbye","Gloria Gaynor"
"72","I Don't Like to Sleep Alone","Paul Anka"
"73","Morning Side of the Mountain","Donny & Marie Osmond"
"74","Some Kind of Wonderful","Grand Funk Railroad"
"75","When Will I See You Again","The Three Degrees"
"76","Get Down, Get Down (Get on the Floor)","Joe Simon"
"77","I'm Sorry","John Denver"
"78","Killer Queen","Queen"
"79","Shoeshine Boy","Eddie Kendricks"
"80","Do It ('Til You're Satisfied)","B.T. Express"
"81","Can't Get It Out of My Head","Electric Light Orchestra"
"82","Sha-La-La (Make Me Happy)","Al Green"
"83","Lonely People","America"
"84","You Got the Love","Rufus"
"85","The Rockford Files","Mike Post"
"86","It Only Takes a Minute","Tavares"
"87","No No Song","Ringo Starr"
"88","Junior's Farm","Paul McCartney & Wings"
"89","Bungle in the Jungle","Jethro Tull"
"90","Long Tall Glasses","Leo Sayer"
"91","Someone Saved My Life Tonight","Elton John"
"92","Misty","Ray Stevens"
"93","Bad Blood","Neil Sedaka & Elton John"
"94","Only Yesterday","The Carpenters"
"95","I'm on Fire","Dwight Twilley Band"
"96","Only You (And You Alone)","Ringo Starr"
"97","Third Rate Romance","Amazing Rhythm Aces"
"98","You Ain't Seen Nothing Yet","Bachman–Turner Overdrive"
"99","Swearin' to God","Frankie Valli"
"100","Get Dancin'","Disco-Tex and the Sex-O-Lettes"
